cluster_id,possession,field_tilt,game_control_share,ppda,high_recoveries,on_ball_pressure_share,off_ball_pressure_share,xt,passes_into_box,shots_per_1_0_xt,avg_pass_height,crosses,set_piece_xg,corners,throw_ins_into_box,xgd
0,57.122,59.682,62.752,11.674,8.327,66.961,35.72,0.843,17.285,22.642,49.24,19.289,0.283,6.233,0.51,0.709
1,46.165,44.787,43.133,15.111,7.04,40.867,57.689,0.605,11.515,22.822,46.051,16.769,0.213,4.63,1.003,-0.382
