feature,mean,std,min,max
game_control_share,0.516235209538771,0.012984341159261696,0.5045086142088907,0.5340301054443609
on_ball_pressure_share,0.25952184192961963,0.07545817304607047,0.1675082907459822,0.3363932917617274
passes_into_box,0.22755822482648289,0.021681784275160716,0.20497261348501078,0.24757246031757346
xt,0.20471054696061594,0.03650247127752521,0.1634158619366588,0.24566281624776687
field_tilt,0.18894298564551815,0.07032475862514902,0.10155973050016029,0.2511308129233739
avg_pass_height,0.16449727965649116,0.031080063497686498,0.13804167429386102,0.20213215654929415
ppda_inv,0.15228231614996945,0.05505608254482059,0.09296442810080192,0.2010697707895733
possession,0.14931089361583627,0.10091164452251727,0.028563599341416945,0.23301912157411664
high_recoveries,0.13953988816343268,0.03376960527839485,0.09252151524459677,0.17236535210975815
is_home,0.1360421919383389,0.06692294104229789,0.06871777157645902,0.22196312214466418
corners,0.12809745302656528,0.027696258353000835,0.09467117688808187,0.1601617762924279
set_piece_xg,0.12294335442745441,0.04971977030189141,0.07412130702865605,0.19178192699881946
off_ball_pressure_share,-0.07514718200089376,0.12162149355171384,-0.1761650714480262,0.08106949994684069
throw_ins_into_box,-0.07147005860820656,0.025895305544612102,-0.09646834693519042,-0.03791418658309873
crosses,-0.06485635406494514,0.03277393645648825,-0.09437848059541633,-0.02306628311877016
shots_per_1_0_xt,0.038998761183127624,0.037387514331082734,0.003969789920464585,0.08812609890975807
