feature,pearson_r,spearman_rho
game_control_share,0.7198508527230663,0.72123385312954
on_ball_pressure_share,0.6714257397219324,0.6788213517215345
passes_into_box,0.6022428741785643,0.6106009666059018
xt,0.5830879330098583,0.5876264234906989
field_tilt,0.5702581042496067,0.5632851683084051
possession,0.48034070959172803,0.4799267324968867
avg_pass_height,0.4519880777004616,0.4356881487194037
corners,0.42354303065844384,0.42193225366525233
ppda_inv,0.37683512947325737,0.36796400075119845
off_ball_pressure_share,-0.35298558704467903,-0.35784965278190484
crosses,0.3530444310883499,0.35644324914683184
set_piece_xg,0.33203803662581466,0.3434043920719552
is_home,0.22424660803180682,0.23730604109641656
high_recoveries,0.201071641350967,0.20877985103414043
shots_per_1_0_xt,-0.002790669006668626,-0.037528986852395876
throw_ins_into_box,-0.009147945036531959,-0.01949230136598526
