feature,mean,std,min,max
game_control_share,0.7205416031833368,0.025867469096467685,0.7016785872783627,0.7575716236089972
on_ball_pressure_share,0.6720297359559185,0.074789703489781,0.577204354946952,0.7582158541741386
passes_into_box,0.6075784521619265,0.041543139437543265,0.5549917860447093,0.6480012950789621
xt,0.5842289082273724,0.020700201676806147,0.5539789736658671,0.5989535636582942
field_tilt,0.5709772490960939,0.07514290975078317,0.4730712428818928,0.6557460262739284
possession,0.4791081866970959,0.08343704343790936,0.38109164156479786,0.5850242415535821
avg_pass_height,0.4544049829443617,0.04354387119315704,0.3988782084047782,0.5041669976141001
corners,0.42712660397472546,0.045003649287199486,0.3759960510276546,0.4788116688774142
ppda_inv,0.3755847877897085,0.061620117018877,0.3100975022709735,0.4582343903471858
crosses,0.3544108054976184,0.04398949053629516,0.2973047896972099,0.4014286664148444
off_ball_pressure_share,-0.3489817915115251,0.10253348651536587,-0.46605425510160003,-0.21670553874848253
set_piece_xg,0.3388718358821212,0.052961906941390455,0.2944402607432579,0.4132493189275411
high_recoveries,0.27261443935577867,0.06325966361661396,0.23046263913363063,0.3664756768285363
is_home,0.22508609977382163,0.08486329973987641,0.11789774482956268,0.2974526060435724
throw_ins_into_box,-0.008812778174233975,0.017687480905940932,-0.0324069041694842,0.0053482983829052505
shots_per_1_0_xt,-0.003712892868787749,0.03401495586789432,-0.029475620926502875,0.04384522370629796
