season_id,season,team_id,team_name,matches_played,z_game_control_share,z_field_tilt,z_off_ball_pressure_share,z_ppda_inv,z_high_recoveries,z_xt,z_passes_into_box,z_shots_per_1_0_xt,z_avg_pass_height,z_crosses,z_set_piece_xg,z_corners,z_throw_ins_into_box
1,21-22,19,Norwich City,38,-1.665325672326566,-1.3300040056396054,0.6748855323372117,-1.17066086887182,-1.872857418464742,-1.208955380097819,-0.9237049238640216,1.283107359563043,-1.5482354635593043,-1.1885293956645735,-1.4439051486483936,-0.7765420981354996,-0.6148575392604456
1,21-22,24,Watford,38,-0.5036228238045813,-0.9914782240779422,1.437588975644885,-1.2032123806580384,-1.2015814437729953,-0.822232050320158,-1.107273458443328,0.2210151513824041,-0.6021894104632863,-0.7661082744156087,-1.030230280450672,-0.8717096721371151,-0.2083082398352897
1,21-22,26,Wolverhampton Wanderers,38,-0.7786822963931492,-0.4373122594219855,-0.1763338975448188,-0.9232693792965354,-0.832462562762561,-0.8918098878952193,-1.0558776170244069,0.0488268978016308,-1.0284601611315485,-0.9456382541313748,-1.0769935264208497,-0.7051438232434993,-0.9198338819894496
1,21-22,6,Burnley,38,-0.2299447988595589,-0.6957447416815771,1.5619441637234068,-0.2719136284542386,0.5773062664732128,-0.4808152194285838,-0.5786105879958255,-0.168202708426887,0.8400442583609864,0.7650729875410743,0.4266246901586936,-0.3484235814729612,0.8419226609596507
1,21-22,13,Leicester City,38,-1.077112835280094,-0.4124733783240429,-0.582795398670892,-0.0652115286117327,0.2080598392011993,-0.3740213291970967,-0.5786105879958255,-0.0797267817437383,-0.9820252083912614,-1.325805225035972,-0.832385778269154,-0.3008849832537307,-0.8181321889730236
1,21-22,12,Leeds United,38,-0.9964022298043282,-0.2079011502665246,-0.663102016143402,1.181402867761267,1.3828884546079407,-0.1636697272259845,-0.5198485673507397,-0.1246316490552828,-1.3216667419882246,-0.3753877977744791,-0.0733823244455088,-0.6576052250242688,-0.2422946283876142
1,21-22,18,Newcastle United,38,-0.1577310425886288,-0.919493837849078,1.184452800159127,-0.9599440825756772,-0.7987903497056313,-1.1458498995064854,-0.776855676639384,1.333855575944835,-0.2937513189127451,-0.903384103787007,0.0093526491940361,-0.8954789712467305,-0.0050335901227117
1,21-22,22,Southampton,38,-0.1025488326080115,-0.0390365920577085,0.4352222160067018,0.518654087793797,0.4766722660871614,-0.6296794300542933,-0.3877037763843929,2.6024974708258366,0.8201586749551194,0.3320983605555769,0.6172748468063378,0.8407643945130381,1.6887501757217394
1,21-22,9,Everton,38,0.2274279147966577,-0.5913816078130117,1.453630753022477,-1.2482419719623126,0.4766722660871614,-0.4969961118879009,-0.6373447064468727,0.1191376306359782,0.4602084604330056,-0.2803661187474487,-1.001452898315179,-0.8717096721371151,-0.1405929353711883
1,21-22,3,Aston Villa,38,0.2533537130385803,-0.1235969066316939,0.6566517975633778,0.5184370777152215,-0.2953652552522159,-0.1749963519475058,-0.1674159544504175,-0.2820845006328362,-0.1068479897735843,-0.1008361390316827,-0.5985695484182678,-0.0392419379216538,0.2998140162860183
1,21-22,25,West Ham United,38,0.0533465877693266,-0.1555488693728058,0.3843604275066402,-1.417401328211377,-0.9666412299439628,-0.2639912604737462,-0.1674159544504175,-0.3656062835390387,0.4427556877629676,1.3036227992901346,0.1388508688037573,0.0559256360799617,0.5369463182306469
1,21-22,4,Brentford,38,-0.9522526770317704,-0.8454608841069822,0.4521994146935181,-0.3334359857301966,0.0738811720197975,0.2602696552081025,0.0895911548382269,-2.22938057829162,-0.9436291085171676,-0.3965349366457819,0.5021653182643648,-0.9192482703563456,3.247232068958262
1,21-22,17,Manchester United,38,0.3535370531062701,0.2815926760897443,-0.4088489196914073,-0.6430008628171657,-1.0674027765915934,0.1065511768445966,0.0381953134193057,0.2386722279207514,0.5996190930336933,-0.2275584626665484,-0.7100819041933054,-0.0154726388120385,-0.6827015800448208
1,21-22,5,Brighton & Hove Albion,38,-0.1073365895096228,0.5896175635655042,-0.5875283512653257,1.2001742395579884,1.4164331214032913,-0.3109158486057629,0.6769881437367767,-0.0058592277361951,0.3222786691497817,0.511628340271343,0.106476313901327,0.0559256360799617,0.2998140162860183
1,21-22,8,Crystal Palace,38,-0.5353014999045642,-0.3927274636826057,-0.3861335395405427,0.7563886288724994,-1.0338581097962432,-0.1410164777829434,-0.3729993201261022,-0.3469964870435884,-1.3885161500334746,-0.417641948118847,-0.609361066719078,-0.538668351913038,-0.5809998870283949
1,21-22,2,Arsenal,38,1.053968856265589,0.6183828657304772,-0.1605992734329417,-0.0575076708223266,0.3759107194395308,-0.0099512488624786,0.3539086389649589,0.7152862651284713,0.6140044086890055,-0.5232572602806476,0.7072041659797565,0.2461704065200383,-0.4115828895478676
1,21-22,23,Tottenham Hotspur,38,-0.2144271677950507,-0.2257123067010157,-0.4549079480366459,-0.1859776373386152,-0.2953652552522159,1.0531333857146037,0.1189442629667313,-1.112665759236961,-0.129801030194177,-0.4493024653284445,-0.0410077695430769,-0.110640212813654,-0.6148575392604456
1,21-22,7,Chelsea,38,1.0456801704043042,1.339023393163142,-1.4818469689320646,1.5729975545495134,0.4430000530302317,0.954429941712775,1.22035547044257,-0.5514501898383162,0.8175143154596572,0.6805646868523387,0.3798614441885173,1.0310091649531146,-0.6487151914924962
1,21-22,14,Liverpool,38,2.0297439911183144,1.8833164004983811,-1.4758016342023017,1.210048198133142,1.5170671217893426,2.653423649940986,2.314400498692244,-1.112538729909348,1.2864121411947516,2.30680775523429,2.329529083868209,2.006183071389422,-0.276152280619665
