feature,mean,std,min,max
game_control_share,0.5202056338787631,0.013745671481243907,0.5076581257084354,0.5388799457146976
on_ball_pressure_share,0.2631895473632417,0.07554181457670042,0.17220863021064356,0.3407510638977158
passes_into_box,0.2445908788181141,0.04069639681105928,0.18969143702012636,0.28024675427594714
xt,0.21633733274506073,0.0446407975295124,0.17994382626371563,0.27588557741031056
field_tilt,0.18181750589782356,0.0770337208206928,0.082867753062073,0.24357154631580613
avg_pass_height,0.15719191608943167,0.03437549257195405,0.1147851680124517,0.19824886812187775
possession,0.14837294934035086,0.1018375330445198,0.022104226794893194,0.23411909247955717
set_piece_xg,0.1386484282762796,0.05234511078976864,0.08914691723396578,0.20921544780748066
is_home,0.1377526305091607,0.06773717813386082,0.06964582533514033,0.22476860744019692
high_recoveries,0.13408562732032486,0.03089903133075591,0.09423963172863377,0.1696622072055681
ppda_inv,0.1258074449667344,0.06610764045051525,0.06362429408263649,0.1950985090651213
corners,0.12564841487614456,0.03621999146132094,0.07838354617797179,0.16575833752162086
off_ball_pressure_share,-0.07366159372514144,0.12257873011546845,-0.17652284152790576,0.08059728599421262
shots_per_1_0_xt,0.059954040512095345,0.06041871917934649,-0.007012962690622205,0.12703867890928086
throw_ins_into_box,-0.05279710515061704,0.02351137776035519,-0.08794029767205339,-0.03941764048954041
crosses,-0.04771967237534595,0.047242627966623894,-0.09299777318445489,0.013573499446567105
