feature,mean,std,min,max,abs_mean
game_control_share,1.1662813094613518,0.07509482504543713,1.1023724991006187,1.2706901350187272,1.1662813094613518
field_tilt,-0.7072725305160782,0.16874462080609623,-0.872453580923796,-0.5418195013821939,0.7072725305160782
crosses,-0.44411476208895706,0.0790629968979762,-0.5350979646429063,-0.3524306162316564,0.44411476208895706
possession,0.3484276029141606,0.23385095833858727,0.17454394751441588,0.682187548817644,0.3484276029141606
off_ball_pressure_share,-0.3461024409637427,0.13539508059052136,-0.49488893844037973,-0.17476767673638666,0.3461024409637427
on_ball_pressure_share,-0.3291109012654756,0.1610779164713643,-0.5609168471508094,-0.19210433069972727,0.3291109012654756
corners,0.14441212262581404,0.05315757553476232,0.07833932722502397,0.19776453906689057,0.14441212262581404
is_home,0.10385138477709809,0.05576029470100625,0.0550717133351333,0.18389508120294387,0.10385138477709809
xt,0.07790909042921298,0.029140837449013357,0.049574568420483044,0.11546291800313155,0.07790909042921298
ppda_inv,0.06598064468185239,0.04267229376557726,0.001981184784043738,0.08786096177106108,0.06598064468185239
avg_pass_height,0.05060991158520459,0.07695099083349292,-0.009447669785040304,0.15459332540791276,0.05060991158520459
high_recoveries,0.038421572291649775,0.057796513005317206,-0.031225351053799644,0.10017045417978593,0.038421572291649775
shots_per_1_0_xt,0.021550015627936972,0.03834589070593632,-0.011282074613551225,0.07326068042754973,0.021550015627936972
set_piece_xg,0.018203687362850697,0.05457098842293465,-0.05919023305794434,0.0672509781284285,0.018203687362850697
throw_ins_into_box,-0.01224326881002138,0.012738333407995496,-0.02851612668440044,0.002502890790509355,0.01224326881002138
passes_into_box,0.0030629796066114438,0.05356595152802233,-0.04367903798076966,0.06053136570256222,0.0030629796066114438
